blockLot,fullAddress,City,State,neighborhood,councilDistrict,policeDistrict,Latitude,Longitude
3651 047,316 W 28th St,Baltimore,MD,Remington,14,Northern,39.321031826,-76.6222639203
0790 071,1131 W Ostend St,Baltimore,MD,Washington Village / Pigtown,10,Southern,39.2805346452,-76.6327627367
1109 053,1730 N Broadway,Baltimore,MD,Oliver,12,Eastern,39.3103055796,-76.5954070796
0061 044,1017 N Mount St,Baltimore,MD,Sandtown - Winchester,9,Western,39.300333515,-76.6441822964
2377D032,606 Claymont Ave,Baltimore,MD,Mosher,9,Western,39.2950873255,-76.6608798049
3410 010,2511 Francis St,Baltimore,MD,Penn North,7,Western,39.3130908278,-76.6420688243
0769 094,1114 Washington Blvd,Baltimore,MD,Washington Village / Pigtown,10,Southern,39.2827758936,-76.633007024
1446 083,1806 N Regester St,Baltimore,MD,Broadway East,12,Eastern,39.3111173768,-76.5943404393
5208 004,1207 E 43rd St,Baltimore,MD,Original Northwood,3,Northeastern,39.3441425502,-76.5975399954
7027F009,3812 S Hanover St,Baltimore,MD,Brooklyn,10,Southern,39.2363409833,-76.6109359262
0009 064,1709 N Bruce St,Baltimore,MD,Sandtown - Winchester,7,Western,39.3084290574,-76.6454508679
0061 038,1029 N Mount St,Baltimore,MD,Sandtown - Winchester,9,Western,39.3005476689,-76.6441948049
2205 083,2414 W Franklin St,Baltimore,MD,Rosemont Homeowners / Tenants,9,Western,39.2936553431,-76.6553340015
2179 006,2510 Mchenry St,Baltimore,MD,Shipley Hill,9,Southwestern,39.2841255765,-76.6563902758
4039 019,539 E 23rd St,Baltimore,MD,East Baltimore Midway,12,Eastern,39.3152487938,-76.6084160756
0062 020,1038 N Stricker St,Baltimore,MD,Sandtown - Winchester,9,Western,39.3009096443,-76.6419222062
0041 042,1141 N Fulton Ave,Baltimore,MD,Sandtown - Winchester,9,Western,39.3018966444,-76.6456027444
3816 016,316 E 22nd St,Baltimore,MD,Barclay,12,Eastern,39.3147166215,-76.6120902895
1138 109,1414 N Bethel St,Baltimore,MD,Oliver,12,Eastern,39.3067851735,-76.5961876462
3806 088,316 E 20 1/2 St,Baltimore,MD,Barclay,12,Eastern,39.3130388646,-76.6117519216
0279 023,325 S Gilmor St,Baltimore,MD,New Southwest / Mount Clare,9,Southern,39.2838435726,-76.6418605545
1519 004,2306 E Preston St,Baltimore,MD,Broadway East,13,Eastern,39.3059227411,-76.5849921731
3350D046,2921 Edgecombe Circle South,Baltimore,MD,Parklane,6,Northern,39.3420720006,-76.663943496
2425 019,3029 Westwood Ave,Baltimore,MD,Northwest Community Action,7,Southwestern,39.3077785322,-76.66852452
2173 015,145 Willard St,Baltimore,MD,Shipley Hill,9,Southwestern,39.2849846192,-76.6545949733
0116 035,925 Harlem Ave,Baltimore,MD,Harlem Park,9,Western,39.2966235317,-76.6340889735
2409B016,1531 Poplar Grove St,Baltimore,MD,Northwest Community Action,9,Southwestern,39.3056078903,-76.6652445614
